group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
announce-response-to-bytes,,,,,353477.0,ns,60
announce-response-to-bytes,,,,,671839.0,ns,120
announce-response-to-bytes,,,,,1043769.0,ns,180
announce-response-to-bytes,,,,,1387044.0,ns,240
announce-response-to-bytes,,,,,1817564.0,ns,300
announce-response-to-bytes,,,,,2091668.0,ns,360
announce-response-to-bytes,,,,,2412910.0,ns,420
announce-response-to-bytes,,,,,2765877.0,ns,480
announce-response-to-bytes,,,,,3138818.0,ns,540
announce-response-to-bytes,,,,,3405635.0,ns,600
announce-response-to-bytes,,,,,3762510.0,ns,660
announce-response-to-bytes,,,,,4223891.0,ns,720
announce-response-to-bytes,,,,,4500944.0,ns,780
announce-response-to-bytes,,,,,4843678.0,ns,840
announce-response-to-bytes,,,,,5250885.0,ns,900
announce-response-to-bytes,,,,,5554563.0,ns,960
announce-response-to-bytes,,,,,5991116.0,ns,1020
announce-response-to-bytes,,,,,6222664.0,ns,1080
announce-response-to-bytes,,,,,6607356.0,ns,1140
announce-response-to-bytes,,,,,6983522.0,ns,1200
announce-response-to-bytes,,,,,8637887.0,ns,1260
announce-response-to-bytes,,,,,8257978.0,ns,1320
announce-response-to-bytes,,,,,7885038.0,ns,1380
announce-response-to-bytes,,,,,8335095.0,ns,1440
announce-response-to-bytes,,,,,8453124.0,ns,1500
announce-response-to-bytes,,,,,8877779.0,ns,1560
announce-response-to-bytes,,,,,9232114.0,ns,1620
announce-response-to-bytes,,,,,9442849.0,ns,1680
announce-response-to-bytes,,,,,10166530.0,ns,1740
announce-response-to-bytes,,,,,10433222.0,ns,1800
announce-response-to-bytes,,,,,10610175.0,ns,1860
announce-response-to-bytes,,,,,11098298.0,ns,1920
announce-response-to-bytes,,,,,14430476.0,ns,1980
announce-response-to-bytes,,,,,12476277.0,ns,2040
announce-response-to-bytes,,,,,12170643.0,ns,2100
announce-response-to-bytes,,,,,15124300.0,ns,2160
announce-response-to-bytes,,,,,13437874.0,ns,2220
announce-response-to-bytes,,,,,12969128.0,ns,2280
announce-response-to-bytes,,,,,13374407.0,ns,2340
announce-response-to-bytes,,,,,13739441.0,ns,2400
announce-response-to-bytes,,,,,14325178.0,ns,2460
announce-response-to-bytes,,,,,14580725.0,ns,2520
announce-response-to-bytes,,,,,17250927.0,ns,2580
announce-response-to-bytes,,,,,16247807.0,ns,2640
announce-response-to-bytes,,,,,15355145.0,ns,2700
announce-response-to-bytes,,,,,15896458.0,ns,2760
announce-response-to-bytes,,,,,16275307.0,ns,2820
announce-response-to-bytes,,,,,16657808.0,ns,2880
announce-response-to-bytes,,,,,16926589.0,ns,2940
announce-response-to-bytes,,,,,17188926.0,ns,3000
announce-response-to-bytes,,,,,17553302.0,ns,3060
announce-response-to-bytes,,,,,18017365.0,ns,3120
announce-response-to-bytes,,,,,18350516.0,ns,3180
announce-response-to-bytes,,,,,18618363.0,ns,3240
announce-response-to-bytes,,,,,18959740.0,ns,3300
announce-response-to-bytes,,,,,19458262.0,ns,3360
announce-response-to-bytes,,,,,19782865.0,ns,3420
announce-response-to-bytes,,,,,23204104.0,ns,3480
announce-response-to-bytes,,,,,20600613.0,ns,3540
announce-response-to-bytes,,,,,20851087.0,ns,3600
announce-response-to-bytes,,,,,21147790.0,ns,3660
announce-response-to-bytes,,,,,21497480.0,ns,3720
announce-response-to-bytes,,,,,21894629.0,ns,3780
announce-response-to-bytes,,,,,22191943.0,ns,3840
announce-response-to-bytes,,,,,26305230.0,ns,3900
announce-response-to-bytes,,,,,22622414.0,ns,3960
announce-response-to-bytes,,,,,23043038.0,ns,4020
announce-response-to-bytes,,,,,24937566.0,ns,4080
announce-response-to-bytes,,,,,23590074.0,ns,4140
announce-response-to-bytes,,,,,24082522.0,ns,4200
announce-response-to-bytes,,,,,24503129.0,ns,4260
announce-response-to-bytes,,,,,27898991.0,ns,4320
announce-response-to-bytes,,,,,25347663.0,ns,4380
announce-response-to-bytes,,,,,25279202.0,ns,4440
announce-response-to-bytes,,,,,29040732.0,ns,4500
announce-response-to-bytes,,,,,25888104.0,ns,4560
