group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
announce-response-to-bytes,,,,,434232.0,ns,834
announce-response-to-bytes,,,,,995364.0,ns,1668
announce-response-to-bytes,,,,,1326023.0,ns,2502
announce-response-to-bytes,,,,,1778985.0,ns,3336
announce-response-to-bytes,,,,,2226996.0,ns,4170
announce-response-to-bytes,,,,,2747752.0,ns,5004
announce-response-to-bytes,,,,,3004925.0,ns,5838
announce-response-to-bytes,,,,,3122137.0,ns,6672
announce-response-to-bytes,,,,,3446015.0,ns,7506
announce-response-to-bytes,,,,,5045877.0,ns,8340
announce-response-to-bytes,,,,,4936335.0,ns,9174
announce-response-to-bytes,,,,,5026066.0,ns,10008
announce-response-to-bytes,,,,,5270338.0,ns,10842
announce-response-to-bytes,,,,,5653732.0,ns,11676
announce-response-to-bytes,,,,,5883121.0,ns,12510
announce-response-to-bytes,,,,,6245914.0,ns,13344
announce-response-to-bytes,,,,,6202157.0,ns,14178
announce-response-to-bytes,,,,,6304470.0,ns,15012
announce-response-to-bytes,,,,,6660526.0,ns,15846
announce-response-to-bytes,,,,,7266227.0,ns,16680
announce-response-to-bytes,,,,,7729640.0,ns,17514
announce-response-to-bytes,,,,,7628017.0,ns,18348
announce-response-to-bytes,,,,,9863293.0,ns,19182
announce-response-to-bytes,,,,,8920681.0,ns,20016
announce-response-to-bytes,,,,,8525368.0,ns,20850
announce-response-to-bytes,,,,,7966379.0,ns,21684
announce-response-to-bytes,,,,,9062631.0,ns,22518
announce-response-to-bytes,,,,,9470207.0,ns,23352
announce-response-to-bytes,,,,,11881970.0,ns,24186
announce-response-to-bytes,,,,,11589481.0,ns,25020
announce-response-to-bytes,,,,,12024373.0,ns,25854
announce-response-to-bytes,,,,,11770978.0,ns,26688
announce-response-to-bytes,,,,,11266548.0,ns,27522
announce-response-to-bytes,,,,,11522232.0,ns,28356
announce-response-to-bytes,,,,,11841643.0,ns,29190
announce-response-to-bytes,,,,,12148431.0,ns,30024
announce-response-to-bytes,,,,,12680074.0,ns,30858
announce-response-to-bytes,,,,,14168731.0,ns,31692
announce-response-to-bytes,,,,,13393658.0,ns,32526
announce-response-to-bytes,,,,,13981529.0,ns,33360
announce-response-to-bytes,,,,,16316461.0,ns,34194
announce-response-to-bytes,,,,,14522962.0,ns,35028
announce-response-to-bytes,,,,,13260384.0,ns,35862
announce-response-to-bytes,,,,,17483913.0,ns,36696
announce-response-to-bytes,,,,,15326881.0,ns,37530
announce-response-to-bytes,,,,,15706760.0,ns,38364
announce-response-to-bytes,,,,,16378415.0,ns,39198
announce-response-to-bytes,,,,,18616471.0,ns,40032
announce-response-to-bytes,,,,,19113269.0,ns,40866
announce-response-to-bytes,,,,,19893904.0,ns,41700
announce-response-to-bytes,,,,,16677736.0,ns,42534
announce-response-to-bytes,,,,,18625594.0,ns,43368
announce-response-to-bytes,,,,,22118072.0,ns,44202
announce-response-to-bytes,,,,,19118954.0,ns,45036
announce-response-to-bytes,,,,,18731660.0,ns,45870
announce-response-to-bytes,,,,,20659599.0,ns,46704
announce-response-to-bytes,,,,,20271019.0,ns,47538
announce-response-to-bytes,,,,,19772862.0,ns,48372
announce-response-to-bytes,,,,,29145147.0,ns,49206
announce-response-to-bytes,,,,,29226359.0,ns,50040
announce-response-to-bytes,,,,,27051512.0,ns,50874
announce-response-to-bytes,,,,,24404437.0,ns,51708
announce-response-to-bytes,,,,,24074697.0,ns,52542
announce-response-to-bytes,,,,,22048966.0,ns,53376
announce-response-to-bytes,,,,,23137690.0,ns,54210
announce-response-to-bytes,,,,,22984817.0,ns,55044
announce-response-to-bytes,,,,,22812497.0,ns,55878
announce-response-to-bytes,,,,,26592268.0,ns,56712
announce-response-to-bytes,,,,,22117147.0,ns,57546
announce-response-to-bytes,,,,,21857903.0,ns,58380
announce-response-to-bytes,,,,,23129115.0,ns,59214
announce-response-to-bytes,,,,,26963362.0,ns,60048
announce-response-to-bytes,,,,,22852049.0,ns,60882
announce-response-to-bytes,,,,,22724414.0,ns,61716
announce-response-to-bytes,,,,,24665139.0,ns,62550
announce-response-to-bytes,,,,,27843366.0,ns,63384
announce-response-to-bytes,,,,,25485498.0,ns,64218
announce-response-to-bytes,,,,,26575239.0,ns,65052
announce-response-to-bytes,,,,,29548021.0,ns,65886
announce-response-to-bytes,,,,,24957551.0,ns,66720
announce-response-to-bytes,,,,,24788767.0,ns,67554
announce-response-to-bytes,,,,,25828782.0,ns,68388
announce-response-to-bytes,,,,,28024539.0,ns,69222
announce-response-to-bytes,,,,,31562047.0,ns,70056
announce-response-to-bytes,,,,,29038899.0,ns,70890
announce-response-to-bytes,,,,,27771323.0,ns,71724
announce-response-to-bytes,,,,,28199503.0,ns,72558
announce-response-to-bytes,,,,,27032881.0,ns,73392
announce-response-to-bytes,,,,,27091449.0,ns,74226
announce-response-to-bytes,,,,,29209964.0,ns,75060
announce-response-to-bytes,,,,,30054351.0,ns,75894
announce-response-to-bytes,,,,,36676375.0,ns,76728
announce-response-to-bytes,,,,,30490323.0,ns,77562
announce-response-to-bytes,,,,,32315172.0,ns,78396
announce-response-to-bytes,,,,,30682705.0,ns,79230
announce-response-to-bytes,,,,,31207341.0,ns,80064
announce-response-to-bytes,,,,,32717356.0,ns,80898
announce-response-to-bytes,,,,,35303799.0,ns,81732
announce-response-to-bytes,,,,,30181231.0,ns,82566
announce-response-to-bytes,,,,,30598311.0,ns,83400
announce-response-to-bytes,,,,,36860444.0,ns,84234
announce-response-to-bytes,,,,,34558769.0,ns,85068
announce-response-to-bytes,,,,,33774361.0,ns,85902
announce-response-to-bytes,,,,,37495496.0,ns,86736
announce-response-to-bytes,,,,,34088357.0,ns,87570
announce-response-to-bytes,,,,,33708945.0,ns,88404
announce-response-to-bytes,,,,,39025656.0,ns,89238
announce-response-to-bytes,,,,,38196226.0,ns,90072
announce-response-to-bytes,,,,,36191260.0,ns,90906
announce-response-to-bytes,,,,,38804820.0,ns,91740
announce-response-to-bytes,,,,,37059238.0,ns,92574
announce-response-to-bytes,,,,,39815142.0,ns,93408
announce-response-to-bytes,,,,,36842318.0,ns,94242
announce-response-to-bytes,,,,,37941477.0,ns,95076
announce-response-to-bytes,,,,,43866236.0,ns,95910
announce-response-to-bytes,,,,,44888873.0,ns,96744
announce-response-to-bytes,,,,,37854610.0,ns,97578
announce-response-to-bytes,,,,,38593056.0,ns,98412
announce-response-to-bytes,,,,,38680924.0,ns,99246
announce-response-to-bytes,,,,,40617213.0,ns,100080
announce-response-to-bytes,,,,,41906024.0,ns,100914
announce-response-to-bytes,,,,,41041352.0,ns,101748
announce-response-to-bytes,,,,,38538882.0,ns,102582
announce-response-to-bytes,,,,,41735389.0,ns,103416
announce-response-to-bytes,,,,,40224762.0,ns,104250
announce-response-to-bytes,,,,,38553395.0,ns,105084
announce-response-to-bytes,,,,,43554083.0,ns,105918
announce-response-to-bytes,,,,,47406564.0,ns,106752
announce-response-to-bytes,,,,,56480165.0,ns,107586
announce-response-to-bytes,,,,,91967709.0,ns,108420
announce-response-to-bytes,,,,,70267868.0,ns,109254
announce-response-to-bytes,,,,,61264770.0,ns,110088
announce-response-to-bytes,,,,,54297414.0,ns,110922
announce-response-to-bytes,,,,,51687286.0,ns,111756
announce-response-to-bytes,,,,,44819348.0,ns,112590
announce-response-to-bytes,,,,,42874131.0,ns,113424
announce-response-to-bytes,,,,,43913594.0,ns,114258
announce-response-to-bytes,,,,,46812560.0,ns,115092
announce-response-to-bytes,,,,,46287006.0,ns,115926
announce-response-to-bytes,,,,,49072602.0,ns,116760
announce-response-to-bytes,,,,,47558337.0,ns,117594
