group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
request-from-path,,,,,342696.0,ns,96
request-from-path,,,,,681932.0,ns,192
request-from-path,,,,,1020885.0,ns,288
request-from-path,,,,,1379612.0,ns,384
request-from-path,,,,,1700529.0,ns,480
request-from-path,,,,,2116062.0,ns,576
request-from-path,,,,,2370481.0,ns,672
request-from-path,,,,,2911326.0,ns,768
request-from-path,,,,,3004915.0,ns,864
request-from-path,,,,,3340544.0,ns,960
request-from-path,,,,,3632914.0,ns,1056
request-from-path,,,,,5761061.0,ns,1152
request-from-path,,,,,5793935.0,ns,1248
request-from-path,,,,,4927403.0,ns,1344
request-from-path,,,,,5226159.0,ns,1440
request-from-path,,,,,5538667.0,ns,1536
request-from-path,,,,,5782632.0,ns,1632
request-from-path,,,,,6817086.0,ns,1728
request-from-path,,,,,6393608.0,ns,1824
request-from-path,,,,,6748391.0,ns,1920
request-from-path,,,,,7101911.0,ns,2016
request-from-path,,,,,7390610.0,ns,2112
request-from-path,,,,,10083254.0,ns,2208
request-from-path,,,,,9203068.0,ns,2304
request-from-path,,,,,9588948.0,ns,2400
request-from-path,,,,,11273788.0,ns,2496
request-from-path,,,,,9987890.0,ns,2592
request-from-path,,,,,9479482.0,ns,2688
request-from-path,,,,,10339242.0,ns,2784
request-from-path,,,,,10002566.0,ns,2880
request-from-path,,,,,10391772.0,ns,2976
request-from-path,,,,,10705995.0,ns,3072
request-from-path,,,,,13332230.0,ns,3168
request-from-path,,,,,12520416.0,ns,3264
request-from-path,,,,,11687570.0,ns,3360
request-from-path,,,,,15146914.0,ns,3456
request-from-path,,,,,12575421.0,ns,3552
request-from-path,,,,,12909941.0,ns,3648
request-from-path,,,,,13158896.0,ns,3744
request-from-path,,,,,13573709.0,ns,3840
request-from-path,,,,,15864597.0,ns,3936
request-from-path,,,,,15146181.0,ns,4032
request-from-path,,,,,14645653.0,ns,4128
request-from-path,,,,,16837733.0,ns,4224
request-from-path,,,,,15258967.0,ns,4320
request-from-path,,,,,17962761.0,ns,4416
request-from-path,,,,,16629759.0,ns,4512
request-from-path,,,,,15995220.0,ns,4608
request-from-path,,,,,16688099.0,ns,4704
request-from-path,,,,,16969625.0,ns,4800
request-from-path,,,,,17256906.0,ns,4896
request-from-path,,,,,17922495.0,ns,4992
request-from-path,,,,,18401154.0,ns,5088
request-from-path,,,,,19301606.0,ns,5184
request-from-path,,,,,21202752.0,ns,5280
request-from-path,,,,,18849988.0,ns,5376
request-from-path,,,,,22897983.0,ns,5472
request-from-path,,,,,23132971.0,ns,5568
request-from-path,,,,,19835957.0,ns,5664
request-from-path,,,,,20169937.0,ns,5760
request-from-path,,,,,20643261.0,ns,5856
request-from-path,,,,,21145528.0,ns,5952
request-from-path,,,,,21316117.0,ns,6048
request-from-path,,,,,24812560.0,ns,6144
request-from-path,,,,,21938934.0,ns,6240
request-from-path,,,,,22672281.0,ns,6336
request-from-path,,,,,22723756.0,ns,6432
request-from-path,,,,,22939251.0,ns,6528
request-from-path,,,,,25088868.0,ns,6624
request-from-path,,,,,23707536.0,ns,6720
request-from-path,,,,,23804007.0,ns,6816
request-from-path,,,,,24167804.0,ns,6912
request-from-path,,,,,24494443.0,ns,7008
request-from-path,,,,,28187022.0,ns,7104
request-from-path,,,,,28923644.0,ns,7200
request-from-path,,,,,28147995.0,ns,7296
request-from-path,,,,,33393475.0,ns,7392
request-from-path,,,,,26315135.0,ns,7488
request-from-path,,,,,27947241.0,ns,7584
request-from-path,,,,,29670941.0,ns,7680
request-from-path,,,,,27420526.0,ns,7776
request-from-path,,,,,27252016.0,ns,7872
request-from-path,,,,,28472571.0,ns,7968
request-from-path,,,,,30846983.0,ns,8064
request-from-path,,,,,29757425.0,ns,8160
request-from-path,,,,,29965985.0,ns,8256
request-from-path,,,,,29434257.0,ns,8352
request-from-path,,,,,30089472.0,ns,8448
request-from-path,,,,,32499782.0,ns,8544
request-from-path,,,,,31031546.0,ns,8640
request-from-path,,,,,30783491.0,ns,8736
request-from-path,,,,,34184026.0,ns,8832
request-from-path,,,,,32061246.0,ns,8928
request-from-path,,,,,31981891.0,ns,9024
request-from-path,,,,,33801456.0,ns,9120
request-from-path,,,,,34646296.0,ns,9216
request-from-path,,,,,33311270.0,ns,9312
request-from-path,,,,,33205299.0,ns,9408
request-from-path,,,,,33686535.0,ns,9504
request-from-path,,,,,33896228.0,ns,9600
request-from-path,,,,,34112564.0,ns,9696
request-from-path,,,,,34221665.0,ns,9792
request-from-path,,,,,38234703.0,ns,9888
request-from-path,,,,,38422895.0,ns,9984
request-from-path,,,,,39296734.0,ns,10080
request-from-path,,,,,36478767.0,ns,10176
request-from-path,,,,,36527583.0,ns,10272
request-from-path,,,,,36177124.0,ns,10368
request-from-path,,,,,36631757.0,ns,10464
request-from-path,,,,,37751514.0,ns,10560
request-from-path,,,,,41249507.0,ns,10656
request-from-path,,,,,37926556.0,ns,10752
request-from-path,,,,,41696483.0,ns,10848
request-from-path,,,,,40791831.0,ns,10944
request-from-path,,,,,39886090.0,ns,11040
request-from-path,,,,,39203773.0,ns,11136
request-from-path,,,,,39755263.0,ns,11232
request-from-path,,,,,43364069.0,ns,11328
request-from-path,,,,,40417983.0,ns,11424
request-from-path,,,,,46989975.0,ns,11520
request-from-path,,,,,46732902.0,ns,11616
request-from-path,,,,,44366306.0,ns,11712
request-from-path,,,,,43885543.0,ns,11808
request-from-path,,,,,42851623.0,ns,11904
request-from-path,,,,,43080443.0,ns,12000
request-from-path,,,,,45853679.0,ns,12096
request-from-path,,,,,43131230.0,ns,12192
request-from-path,,,,,44186596.0,ns,12288
request-from-path,,,,,45861029.0,ns,12384
request-from-path,,,,,43941510.0,ns,12480
request-from-path,,,,,44955988.0,ns,12576
request-from-path,,,,,47390100.0,ns,12672
request-from-path,,,,,47653253.0,ns,12768
request-from-path,,,,,45072477.0,ns,12864
request-from-path,,,,,45538681.0,ns,12960
request-from-path,,,,,47574072.0,ns,13056
request-from-path,,,,,47059480.0,ns,13152
request-from-path,,,,,59288440.0,ns,13248
request-from-path,,,,,61442178.0,ns,13344
request-from-path,,,,,55982789.0,ns,13440
request-from-path,,,,,53008804.0,ns,13536
request-from-path,,,,,48517447.0,ns,13632
request-from-path,,,,,50660428.0,ns,13728
request-from-path,,,,,49028023.0,ns,13824
request-from-path,,,,,52296654.0,ns,13920
request-from-path,,,,,52951511.0,ns,14016
request-from-path,,,,,53179288.0,ns,14112
request-from-path,,,,,50294651.0,ns,14208
request-from-path,,,,,57100897.0,ns,14304
request-from-path,,,,,52603542.0,ns,14400
request-from-path,,,,,54330726.0,ns,14496
request-from-path,,,,,55164124.0,ns,14592
request-from-path,,,,,51909359.0,ns,14688
request-from-path,,,,,59249493.0,ns,14784
request-from-path,,,,,51991522.0,ns,14880
request-from-path,,,,,53457906.0,ns,14976
request-from-path,,,,,52896002.0,ns,15072
request-from-path,,,,,53572824.0,ns,15168
request-from-path,,,,,57301270.0,ns,15264
request-from-path,,,,,59133248.0,ns,15360
request-from-path,,,,,58617500.0,ns,15456
request-from-path,,,,,58294173.0,ns,15552
request-from-path,,,,,55765879.0,ns,15648
request-from-path,,,,,58282220.0,ns,15744
request-from-path,,,,,58841428.0,ns,15840
request-from-path,,,,,59363372.0,ns,15936
request-from-path,,,,,56069578.0,ns,16032
request-from-path,,,,,59684678.0,ns,16128
request-from-path,,,,,57058733.0,ns,16224
request-from-path,,,,,66380546.0,ns,16320
request-from-path,,,,,63018569.0,ns,16416
request-from-path,,,,,59053039.0,ns,16512
request-from-path,,,,,62971637.0,ns,16608
request-from-path,,,,,58639683.0,ns,16704
request-from-path,,,,,64672068.0,ns,16800
request-from-path,,,,,65936487.0,ns,16896
request-from-path,,,,,63910033.0,ns,16992
request-from-path,,,,,60186022.0,ns,17088
request-from-path,,,,,63674079.0,ns,17184
request-from-path,,,,,60390503.0,ns,17280
request-from-path,,,,,63691621.0,ns,17376
request-from-path,,,,,61282117.0,ns,17472
request-from-path,,,,,62122378.0,ns,17568
request-from-path,,,,,66263477.0,ns,17664
request-from-path,,,,,73452521.0,ns,17760
request-from-path,,,,,69068491.0,ns,17856
request-from-path,,,,,63646185.0,ns,17952
request-from-path,,,,,63491015.0,ns,18048
request-from-path,,,,,63358565.0,ns,18144
request-from-path,,,,,67593733.0,ns,18240
request-from-path,,,,,67315495.0,ns,18336
request-from-path,,,,,71925465.0,ns,18432
request-from-path,,,,,72216587.0,ns,18528
request-from-path,,,,,71045062.0,ns,18624
request-from-path,,,,,70231239.0,ns,18720
request-from-path,,,,,68670776.0,ns,18816
request-from-path,,,,,71239482.0,ns,18912
request-from-path,,,,,70241297.0,ns,19008
request-from-path,,,,,66828478.0,ns,19104
request-from-path,,,,,69159201.0,ns,19200
request-from-path,,,,,69018734.0,ns,19296
request-from-path,,,,,70745084.0,ns,19392
request-from-path,,,,,72047106.0,ns,19488
request-from-path,,,,,69898633.0,ns,19584
request-from-path,,,,,72098444.0,ns,19680
request-from-path,,,,,73914285.0,ns,19776
request-from-path,,,,,69317180.0,ns,19872
request-from-path,,,,,72099014.0,ns,19968
request-from-path,,,,,70504891.0,ns,20064
request-from-path,,,,,79020323.0,ns,20160
request-from-path,,,,,75074721.0,ns,20256
request-from-path,,,,,74148409.0,ns,20352
request-from-path,,,,,76862592.0,ns,20448
request-from-path,,,,,73120267.0,ns,20544
request-from-path,,,,,79217438.0,ns,20640
request-from-path,,,,,72897905.0,ns,20736
request-from-path,,,,,75225282.0,ns,20832
request-from-path,,,,,81486471.0,ns,20928
request-from-path,,,,,76589601.0,ns,21024
request-from-path,,,,,76101283.0,ns,21120
request-from-path,,,,,85645931.0,ns,21216
request-from-path,,,,,82093820.0,ns,21312
request-from-path,,,,,82506795.0,ns,21408
request-from-path,,,,,83670245.0,ns,21504
request-from-path,,,,,76564527.0,ns,21600
request-from-path,,,,,78517543.0,ns,21696
request-from-path,,,,,95575999.0,ns,21792
request-from-path,,,,,96102119.0,ns,21888
request-from-path,,,,,82694134.0,ns,21984
request-from-path,,,,,84038348.0,ns,22080
request-from-path,,,,,84610629.0,ns,22176
request-from-path,,,,,81355172.0,ns,22272
request-from-path,,,,,78281809.0,ns,22368
request-from-path,,,,,80961122.0,ns,22464
request-from-path,,,,,82516281.0,ns,22560
request-from-path,,,,,83012258.0,ns,22656
request-from-path,,,,,80095506.0,ns,22752
request-from-path,,,,,84773863.0,ns,22848
request-from-path,,,,,83514677.0,ns,22944
request-from-path,,,,,81219698.0,ns,23040
request-from-path,,,,,91196292.0,ns,23136
request-from-path,,,,,86111791.0,ns,23232
request-from-path,,,,,88166482.0,ns,23328
request-from-path,,,,,92528636.0,ns,23424
request-from-path,,,,,88996083.0,ns,23520
request-from-path,,,,,82397880.0,ns,23616
request-from-path,,,,,86859466.0,ns,23712
request-from-path,,,,,93434485.0,ns,23808
request-from-path,,,,,90492840.0,ns,23904
request-from-path,,,,,88289105.0,ns,24000
request-from-path,,,,,87608521.0,ns,24096
request-from-path,,,,,92350193.0,ns,24192
request-from-path,,,,,88465216.0,ns,24288
request-from-path,,,,,85902395.0,ns,24384
request-from-path,,,,,94511886.0,ns,24480
request-from-path,,,,,92542729.0,ns,24576
request-from-path,,,,,91763024.0,ns,24672
request-from-path,,,,,92368150.0,ns,24768
request-from-path,,,,,92874398.0,ns,24864
request-from-path,,,,,95885471.0,ns,24960
request-from-path,,,,,96701372.0,ns,25056
request-from-path,,,,,93453916.0,ns,25152
request-from-path,,,,,95354861.0,ns,25248
request-from-path,,,,,96150070.0,ns,25344
request-from-path,,,,,93064662.0,ns,25440
request-from-path,,,,,95881134.0,ns,25536
request-from-path,,,,,93852137.0,ns,25632
request-from-path,,,,,94868514.0,ns,25728
request-from-path,,,,,99474210.0,ns,25824
request-from-path,,,,,95290764.0,ns,25920
request-from-path,,,,,102736641.0,ns,26016
request-from-path,,,,,104452687.0,ns,26112
request-from-path,,,,,92742874.0,ns,26208
request-from-path,,,,,99440855.0,ns,26304
request-from-path,,,,,103025166.0,ns,26400
request-from-path,,,,,96409078.0,ns,26496
request-from-path,,,,,95530239.0,ns,26592
request-from-path,,,,,97617638.0,ns,26688
request-from-path,,,,,94183872.0,ns,26784
request-from-path,,,,,101443986.0,ns,26880
request-from-path,,,,,98329702.0,ns,26976
request-from-path,,,,,103039078.0,ns,27072
request-from-path,,,,,107432353.0,ns,27168
request-from-path,,,,,95960805.0,ns,27264
request-from-path,,,,,98619761.0,ns,27360
request-from-path,,,,,107488681.0,ns,27456
request-from-path,,,,,101578433.0,ns,27552
request-from-path,,,,,119446237.0,ns,27648
request-from-path,,,,,118090361.0,ns,27744
request-from-path,,,,,102682576.0,ns,27840
request-from-path,,,,,108663156.0,ns,27936
request-from-path,,,,,99595968.0,ns,28032
request-from-path,,,,,111739417.0,ns,28128
request-from-path,,,,,102276780.0,ns,28224
request-from-path,,,,,106285388.0,ns,28320
request-from-path,,,,,102146267.0,ns,28416
request-from-path,,,,,105947199.0,ns,28512
request-from-path,,,,,104804812.0,ns,28608
request-from-path,,,,,110013866.0,ns,28704
request-from-path,,,,,107553020.0,ns,28800
request-from-path,,,,,102020914.0,ns,28896
request-from-path,,,,,105222286.0,ns,28992
request-from-path,,,,,106765467.0,ns,29088
request-from-path,,,,,110711002.0,ns,29184
request-from-path,,,,,111249096.0,ns,29280
request-from-path,,,,,114518134.0,ns,29376
request-from-path,,,,,109111388.0,ns,29472
request-from-path,,,,,106436233.0,ns,29568
request-from-path,,,,,108408567.0,ns,29664
request-from-path,,,,,103170063.0,ns,29760
request-from-path,,,,,107605157.0,ns,29856
request-from-path,,,,,111652469.0,ns,29952
request-from-path,,,,,122664738.0,ns,30048
request-from-path,,,,,132394885.0,ns,30144
request-from-path,,,,,113381404.0,ns,30240
request-from-path,,,,,115317991.0,ns,30336
request-from-path,,,,,107044802.0,ns,30432
request-from-path,,,,,114745172.0,ns,30528
request-from-path,,,,,124187758.0,ns,30624
request-from-path,,,,,112056124.0,ns,30720
request-from-path,,,,,121303124.0,ns,30816
request-from-path,,,,,111713391.0,ns,30912
request-from-path,,,,,109855071.0,ns,31008
request-from-path,,,,,112275870.0,ns,31104
request-from-path,,,,,117218366.0,ns,31200
request-from-path,,,,,114619276.0,ns,31296
request-from-path,,,,,113599315.0,ns,31392
request-from-path,,,,,111951817.0,ns,31488
request-from-path,,,,,117261730.0,ns,31584
