group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
request-from-path,,,,,366462.0,ns,62
request-from-path,,,,,707083.0,ns,124
request-from-path,,,,,1026933.0,ns,186
request-from-path,,,,,1363427.0,ns,248
request-from-path,,,,,1717435.0,ns,310
request-from-path,,,,,2036904.0,ns,372
request-from-path,,,,,2432923.0,ns,434
request-from-path,,,,,2733327.0,ns,496
request-from-path,,,,,3049633.0,ns,558
request-from-path,,,,,3411124.0,ns,620
request-from-path,,,,,5440080.0,ns,682
request-from-path,,,,,5317689.0,ns,744
request-from-path,,,,,4978395.0,ns,806
request-from-path,,,,,4844619.0,ns,868
request-from-path,,,,,5302724.0,ns,930
request-from-path,,,,,5539124.0,ns,992
request-from-path,,,,,5925276.0,ns,1054
request-from-path,,,,,6221132.0,ns,1116
request-from-path,,,,,6493715.0,ns,1178
request-from-path,,,,,6902768.0,ns,1240
request-from-path,,,,,7262598.0,ns,1302
request-from-path,,,,,7485744.0,ns,1364
request-from-path,,,,,7790906.0,ns,1426
request-from-path,,,,,8249911.0,ns,1488
request-from-path,,,,,8540240.0,ns,1550
request-from-path,,,,,9237766.0,ns,1612
request-from-path,,,,,12664762.0,ns,1674
request-from-path,,,,,12481006.0,ns,1736
request-from-path,,,,,10214375.0,ns,1798
request-from-path,,,,,10167070.0,ns,1860
request-from-path,,,,,14594797.0,ns,1922
request-from-path,,,,,11921584.0,ns,1984
request-from-path,,,,,11315700.0,ns,2046
request-from-path,,,,,11567704.0,ns,2108
request-from-path,,,,,12021201.0,ns,2170
request-from-path,,,,,12227082.0,ns,2232
request-from-path,,,,,13180230.0,ns,2294
request-from-path,,,,,15088938.0,ns,2356
request-from-path,,,,,13219775.0,ns,2418
request-from-path,,,,,15770565.0,ns,2480
request-from-path,,,,,16360595.0,ns,2542
request-from-path,,,,,14309973.0,ns,2604
request-from-path,,,,,14888842.0,ns,2666
request-from-path,,,,,15237077.0,ns,2728
request-from-path,,,,,15324080.0,ns,2790
request-from-path,,,,,15650330.0,ns,2852
request-from-path,,,,,16151808.0,ns,2914
request-from-path,,,,,16442984.0,ns,2976
request-from-path,,,,,16958970.0,ns,3038
request-from-path,,,,,18155410.0,ns,3100
request-from-path,,,,,17504931.0,ns,3162
request-from-path,,,,,17675608.0,ns,3224
request-from-path,,,,,18024490.0,ns,3286
request-from-path,,,,,18474070.0,ns,3348
request-from-path,,,,,18894607.0,ns,3410
request-from-path,,,,,22236630.0,ns,3472
request-from-path,,,,,19415786.0,ns,3534
request-from-path,,,,,19795807.0,ns,3596
request-from-path,,,,,20232679.0,ns,3658
request-from-path,,,,,27222748.0,ns,3720
request-from-path,,,,,21059738.0,ns,3782
request-from-path,,,,,21728297.0,ns,3844
request-from-path,,,,,22300088.0,ns,3906
request-from-path,,,,,23145859.0,ns,3968
request-from-path,,,,,22254150.0,ns,4030
request-from-path,,,,,22470366.0,ns,4092
request-from-path,,,,,25253558.0,ns,4154
request-from-path,,,,,23264560.0,ns,4216
request-from-path,,,,,27037893.0,ns,4278
request-from-path,,,,,24052712.0,ns,4340
request-from-path,,,,,27404314.0,ns,4402
request-from-path,,,,,27769022.0,ns,4464
request-from-path,,,,,25143356.0,ns,4526
request-from-path,,,,,25495744.0,ns,4588
request-from-path,,,,,30371513.0,ns,4650
request-from-path,,,,,25897410.0,ns,4712
request-from-path,,,,,26357740.0,ns,4774
request-from-path,,,,,29026773.0,ns,4836
request-from-path,,,,,29225386.0,ns,4898
request-from-path,,,,,29199695.0,ns,4960
request-from-path,,,,,32710687.0,ns,5022
request-from-path,,,,,31533798.0,ns,5084
request-from-path,,,,,30268357.0,ns,5146
request-from-path,,,,,31454398.0,ns,5208
request-from-path,,,,,33483317.0,ns,5270
request-from-path,,,,,35153034.0,ns,5332
request-from-path,,,,,30956194.0,ns,5394
request-from-path,,,,,30133886.0,ns,5456
request-from-path,,,,,30484428.0,ns,5518
request-from-path,,,,,30817366.0,ns,5580
request-from-path,,,,,31146139.0,ns,5642
request-from-path,,,,,31360165.0,ns,5704
request-from-path,,,,,31811890.0,ns,5766
request-from-path,,,,,32515380.0,ns,5828
request-from-path,,,,,36626488.0,ns,5890
request-from-path,,,,,34952697.0,ns,5952
request-from-path,,,,,33801646.0,ns,6014
request-from-path,,,,,33625631.0,ns,6076
request-from-path,,,,,36855633.0,ns,6138
request-from-path,,,,,34012052.0,ns,6200
request-from-path,,,,,34731097.0,ns,6262
request-from-path,,,,,40376037.0,ns,6324
request-from-path,,,,,39687199.0,ns,6386
request-from-path,,,,,35543905.0,ns,6448
request-from-path,,,,,37748024.0,ns,6510
request-from-path,,,,,36611888.0,ns,6572
request-from-path,,,,,36603949.0,ns,6634
request-from-path,,,,,37002448.0,ns,6696
request-from-path,,,,,40855543.0,ns,6758
request-from-path,,,,,43803522.0,ns,6820
request-from-path,,,,,39801424.0,ns,6882
request-from-path,,,,,38235660.0,ns,6944
request-from-path,,,,,38441292.0,ns,7006
request-from-path,,,,,42302615.0,ns,7068
request-from-path,,,,,45050722.0,ns,7130
request-from-path,,,,,41185668.0,ns,7192
request-from-path,,,,,41810034.0,ns,7254
request-from-path,,,,,40412998.0,ns,7316
request-from-path,,,,,40856672.0,ns,7378
request-from-path,,,,,43606341.0,ns,7440
request-from-path,,,,,42498668.0,ns,7502
request-from-path,,,,,42101309.0,ns,7564
request-from-path,,,,,42411657.0,ns,7626
request-from-path,,,,,44507904.0,ns,7688
request-from-path,,,,,44350519.0,ns,7750
request-from-path,,,,,42982947.0,ns,7812
request-from-path,,,,,43297904.0,ns,7874
request-from-path,,,,,43821398.0,ns,7936
request-from-path,,,,,43992544.0,ns,7998
request-from-path,,,,,51013433.0,ns,8060
request-from-path,,,,,48447421.0,ns,8122
request-from-path,,,,,49157272.0,ns,8184
request-from-path,,,,,45415662.0,ns,8246
request-from-path,,,,,45777023.0,ns,8308
request-from-path,,,,,47875988.0,ns,8370
request-from-path,,,,,46551719.0,ns,8432
request-from-path,,,,,50043029.0,ns,8494
request-from-path,,,,,47550790.0,ns,8556
request-from-path,,,,,49374618.0,ns,8618
request-from-path,,,,,56260907.0,ns,8680
request-from-path,,,,,52656595.0,ns,8742
request-from-path,,,,,48587368.0,ns,8804
