group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
announce-response-to-bytes,,,,,401430.0,ns,454
announce-response-to-bytes,,,,,667976.0,ns,908
announce-response-to-bytes,,,,,1025418.0,ns,1362
announce-response-to-bytes,,,,,1760457.0,ns,1816
announce-response-to-bytes,,,,,2773514.0,ns,2270
announce-response-to-bytes,,,,,2931972.0,ns,2724
announce-response-to-bytes,,,,,3005834.0,ns,3178
announce-response-to-bytes,,,,,3173571.0,ns,3632
announce-response-to-bytes,,,,,3046619.0,ns,4086
announce-response-to-bytes,,,,,3328132.0,ns,4540
announce-response-to-bytes,,,,,3720452.0,ns,4994
announce-response-to-bytes,,,,,4090810.0,ns,5448
announce-response-to-bytes,,,,,4484545.0,ns,5902
announce-response-to-bytes,,,,,4812796.0,ns,6356
announce-response-to-bytes,,,,,4908935.0,ns,6810
announce-response-to-bytes,,,,,6288992.0,ns,7264
announce-response-to-bytes,,,,,6077287.0,ns,7718
announce-response-to-bytes,,,,,6176622.0,ns,8172
announce-response-to-bytes,,,,,6485603.0,ns,8626
announce-response-to-bytes,,,,,6758164.0,ns,9080
announce-response-to-bytes,,,,,7122672.0,ns,9534
announce-response-to-bytes,,,,,7474194.0,ns,9988
announce-response-to-bytes,,,,,7915038.0,ns,10442
announce-response-to-bytes,,,,,8363532.0,ns,10896
announce-response-to-bytes,,,,,11128327.0,ns,11350
announce-response-to-bytes,,,,,9225973.0,ns,11804
announce-response-to-bytes,,,,,9294452.0,ns,12258
announce-response-to-bytes,,,,,9556524.0,ns,12712
announce-response-to-bytes,,,,,9912145.0,ns,13166
announce-response-to-bytes,,,,,10414551.0,ns,13620
announce-response-to-bytes,,,,,13321072.0,ns,14074
announce-response-to-bytes,,,,,10618032.0,ns,14528
announce-response-to-bytes,,,,,12276543.0,ns,14982
announce-response-to-bytes,,,,,14405695.0,ns,15436
announce-response-to-bytes,,,,,11831439.0,ns,15890
announce-response-to-bytes,,,,,15333712.0,ns,16344
announce-response-to-bytes,,,,,12449106.0,ns,16798
announce-response-to-bytes,,,,,13055819.0,ns,17252
announce-response-to-bytes,,,,,13379622.0,ns,17706
announce-response-to-bytes,,,,,13554285.0,ns,18160
announce-response-to-bytes,,,,,13915354.0,ns,18614
announce-response-to-bytes,,,,,13918870.0,ns,19068
announce-response-to-bytes,,,,,14529285.0,ns,19522
announce-response-to-bytes,,,,,15208879.0,ns,19976
announce-response-to-bytes,,,,,35365935.0,ns,20430
announce-response-to-bytes,,,,,35391975.0,ns,20884
announce-response-to-bytes,,,,,32370107.0,ns,21338
announce-response-to-bytes,,,,,29786276.0,ns,21792
announce-response-to-bytes,,,,,27895965.0,ns,22246
announce-response-to-bytes,,,,,26050119.0,ns,22700
announce-response-to-bytes,,,,,25461907.0,ns,23154
announce-response-to-bytes,,,,,24759043.0,ns,23608
announce-response-to-bytes,,,,,23173216.0,ns,24062
announce-response-to-bytes,,,,,21967972.0,ns,24516
announce-response-to-bytes,,,,,21480828.0,ns,24970
announce-response-to-bytes,,,,,23522828.0,ns,25424
announce-response-to-bytes,,,,,23447193.0,ns,25878
announce-response-to-bytes,,,,,23068253.0,ns,26332
announce-response-to-bytes,,,,,19623914.0,ns,26786
announce-response-to-bytes,,,,,19997173.0,ns,27240
announce-response-to-bytes,,,,,20687167.0,ns,27694
announce-response-to-bytes,,,,,22585354.0,ns,28148
announce-response-to-bytes,,,,,22761581.0,ns,28602
announce-response-to-bytes,,,,,21631034.0,ns,29056
announce-response-to-bytes,,,,,30078711.0,ns,29510
announce-response-to-bytes,,,,,32243243.0,ns,29964
announce-response-to-bytes,,,,,29687350.0,ns,30418
announce-response-to-bytes,,,,,28020842.0,ns,30872
announce-response-to-bytes,,,,,27195725.0,ns,31326
announce-response-to-bytes,,,,,26288864.0,ns,31780
announce-response-to-bytes,,,,,24869828.0,ns,32234
announce-response-to-bytes,,,,,24636026.0,ns,32688
