group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
request-from-path,,,,,377930.0,ns,663
request-from-path,,,,,756339.0,ns,1326
request-from-path,,,,,1133189.0,ns,1989
request-from-path,,,,,1511793.0,ns,2652
request-from-path,,,,,1884980.0,ns,3315
request-from-path,,,,,2261906.0,ns,3978
request-from-path,,,,,2623789.0,ns,4641
request-from-path,,,,,2933206.0,ns,5304
request-from-path,,,,,3306207.0,ns,5967
request-from-path,,,,,3657384.0,ns,6630
request-from-path,,,,,4146478.0,ns,7293
request-from-path,,,,,4534349.0,ns,7956
request-from-path,,,,,4898435.0,ns,8619
request-from-path,,,,,5297441.0,ns,9282
request-from-path,,,,,5668676.0,ns,9945
request-from-path,,,,,7326116.0,ns,10608
request-from-path,,,,,6935143.0,ns,11271
request-from-path,,,,,6769229.0,ns,11934
request-from-path,,,,,7000617.0,ns,12597
request-from-path,,,,,7365983.0,ns,13260
request-from-path,,,,,7527444.0,ns,13923
request-from-path,,,,,7896335.0,ns,14586
request-from-path,,,,,8029151.0,ns,15249
request-from-path,,,,,9345471.0,ns,15912
request-from-path,,,,,8945911.0,ns,16575
request-from-path,,,,,9426323.0,ns,17238
request-from-path,,,,,9761587.0,ns,17901
request-from-path,,,,,10043418.0,ns,18564
request-from-path,,,,,10485398.0,ns,19227
request-from-path,,,,,10791743.0,ns,19890
request-from-path,,,,,11125628.0,ns,20553
request-from-path,,,,,11527312.0,ns,21216
request-from-path,,,,,11957605.0,ns,21879
request-from-path,,,,,12230011.0,ns,22542
request-from-path,,,,,12901797.0,ns,23205
request-from-path,,,,,12636995.0,ns,23868
request-from-path,,,,,13011385.0,ns,24531
request-from-path,,,,,13269783.0,ns,25194
request-from-path,,,,,13560835.0,ns,25857
request-from-path,,,,,13823678.0,ns,26520
request-from-path,,,,,14486645.0,ns,27183
request-from-path,,,,,14679002.0,ns,27846
request-from-path,,,,,15145608.0,ns,28509
request-from-path,,,,,15291978.0,ns,29172
request-from-path,,,,,15578428.0,ns,29835
request-from-path,,,,,16153340.0,ns,30498
request-from-path,,,,,16388024.0,ns,31161
request-from-path,,,,,16873206.0,ns,31824
request-from-path,,,,,17444378.0,ns,32487
request-from-path,,,,,17373988.0,ns,33150
request-from-path,,,,,17697487.0,ns,33813
request-from-path,,,,,18123165.0,ns,34476
request-from-path,,,,,18662073.0,ns,35139
request-from-path,,,,,18785821.0,ns,35802
request-from-path,,,,,20721818.0,ns,36465
request-from-path,,,,,22208879.0,ns,37128
request-from-path,,,,,20116168.0,ns,37791
request-from-path,,,,,20184886.0,ns,38454
request-from-path,,,,,20657575.0,ns,39117
request-from-path,,,,,21225740.0,ns,39780
request-from-path,,,,,21185366.0,ns,40443
request-from-path,,,,,21574349.0,ns,41106
request-from-path,,,,,22137070.0,ns,41769
request-from-path,,,,,22556900.0,ns,42432
request-from-path,,,,,22957993.0,ns,43095
request-from-path,,,,,23019129.0,ns,43758
request-from-path,,,,,23320034.0,ns,44421
request-from-path,,,,,26947324.0,ns,45084
request-from-path,,,,,25574292.0,ns,45747
request-from-path,,,,,24411682.0,ns,46410
request-from-path,,,,,28889547.0,ns,47073
request-from-path,,,,,25026812.0,ns,47736
request-from-path,,,,,25656071.0,ns,48399
request-from-path,,,,,25826676.0,ns,49062
request-from-path,,,,,26034133.0,ns,49725
request-from-path,,,,,26444299.0,ns,50388
request-from-path,,,,,26929848.0,ns,51051
