group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
request-from-bytes,,,,,423396.0,ns,460
request-from-bytes,,,,,763368.0,ns,920
request-from-bytes,,,,,1139009.0,ns,1380
request-from-bytes,,,,,1442643.0,ns,1840
request-from-bytes,,,,,1863104.0,ns,2300
request-from-bytes,,,,,2224093.0,ns,2760
request-from-bytes,,,,,2558578.0,ns,3220
request-from-bytes,,,,,2904812.0,ns,3680
request-from-bytes,,,,,3246499.0,ns,4140
request-from-bytes,,,,,3608606.0,ns,4600
request-from-bytes,,,,,4048003.0,ns,5060
request-from-bytes,,,,,4328930.0,ns,5520
request-from-bytes,,,,,5013826.0,ns,5980
request-from-bytes,,,,,5440118.0,ns,6440
request-from-bytes,,,,,5581925.0,ns,6900
request-from-bytes,,,,,6444760.0,ns,7360
request-from-bytes,,,,,6646863.0,ns,7820
request-from-bytes,,,,,6535022.0,ns,8280
request-from-bytes,,,,,7042539.0,ns,8740
request-from-bytes,,,,,7213840.0,ns,9200
request-from-bytes,,,,,7598918.0,ns,9660
request-from-bytes,,,,,7973458.0,ns,10120
request-from-bytes,,,,,8335864.0,ns,10580
request-from-bytes,,,,,8655360.0,ns,11040
request-from-bytes,,,,,9078081.0,ns,11500
request-from-bytes,,,,,9376160.0,ns,11960
request-from-bytes,,,,,9962427.0,ns,12420
request-from-bytes,,,,,10171708.0,ns,12880
request-from-bytes,,,,,10578636.0,ns,13340
request-from-bytes,,,,,10850147.0,ns,13800
request-from-bytes,,,,,11180130.0,ns,14260
request-from-bytes,,,,,11581329.0,ns,14720
request-from-bytes,,,,,12040742.0,ns,15180
request-from-bytes,,,,,12414532.0,ns,15640
request-from-bytes,,,,,12621262.0,ns,16100
request-from-bytes,,,,,13419443.0,ns,16560
request-from-bytes,,,,,17325675.0,ns,17020
request-from-bytes,,,,,13828911.0,ns,17480
request-from-bytes,,,,,14115473.0,ns,17940
request-from-bytes,,,,,14429913.0,ns,18400
request-from-bytes,,,,,14907534.0,ns,18860
request-from-bytes,,,,,15195192.0,ns,19320
request-from-bytes,,,,,15561657.0,ns,19780
request-from-bytes,,,,,16116673.0,ns,20240
request-from-bytes,,,,,16280330.0,ns,20700
request-from-bytes,,,,,16615179.0,ns,21160
request-from-bytes,,,,,17071766.0,ns,21620
request-from-bytes,,,,,17362158.0,ns,22080
request-from-bytes,,,,,17751493.0,ns,22540
request-from-bytes,,,,,18118889.0,ns,23000
request-from-bytes,,,,,18451559.0,ns,23460
request-from-bytes,,,,,21876222.0,ns,23920
request-from-bytes,,,,,20475868.0,ns,24380
request-from-bytes,,,,,20108021.0,ns,24840
request-from-bytes,,,,,23565093.0,ns,25300
request-from-bytes,,,,,19515505.0,ns,25760
request-from-bytes,,,,,19873714.0,ns,26220
request-from-bytes,,,,,20268315.0,ns,26680
request-from-bytes,,,,,20791379.0,ns,27140
request-from-bytes,,,,,20945076.0,ns,27600
request-from-bytes,,,,,21256444.0,ns,28060
request-from-bytes,,,,,21660321.0,ns,28520
request-from-bytes,,,,,21949370.0,ns,28980
request-from-bytes,,,,,22619533.0,ns,29440
request-from-bytes,,,,,22778183.0,ns,29900
request-from-bytes,,,,,23032863.0,ns,30360
request-from-bytes,,,,,27791577.0,ns,30820
request-from-bytes,,,,,24672641.0,ns,31280
request-from-bytes,,,,,24938247.0,ns,31740
request-from-bytes,,,,,25309670.0,ns,32200
request-from-bytes,,,,,25668647.0,ns,32660
request-from-bytes,,,,,26249075.0,ns,33120
request-from-bytes,,,,,26390427.0,ns,33580
request-from-bytes,,,,,26747527.0,ns,34040
request-from-bytes,,,,,27325198.0,ns,34500
request-from-bytes,,,,,28156513.0,ns,34960
request-from-bytes,,,,,28426781.0,ns,35420
request-from-bytes,,,,,29085663.0,ns,35880
request-from-bytes,,,,,29325971.0,ns,36340
request-from-bytes,,,,,29750781.0,ns,36800
request-from-bytes,,,,,30215380.0,ns,37260
request-from-bytes,,,,,30678510.0,ns,37720
request-from-bytes,,,,,31108055.0,ns,38180
request-from-bytes,,,,,31390350.0,ns,38640
request-from-bytes,,,,,31982561.0,ns,39100
request-from-bytes,,,,,31930288.0,ns,39560
request-from-bytes,,,,,32692516.0,ns,40020
request-from-bytes,,,,,36018656.0,ns,40480
request-from-bytes,,,,,31082184.0,ns,40940
request-from-bytes,,,,,31435928.0,ns,41400
request-from-bytes,,,,,36273427.0,ns,41860
request-from-bytes,,,,,36833988.0,ns,42320
request-from-bytes,,,,,32486131.0,ns,42780
request-from-bytes,,,,,32855880.0,ns,43240
request-from-bytes,,,,,33266494.0,ns,43700
request-from-bytes,,,,,33476981.0,ns,44160
request-from-bytes,,,,,33843069.0,ns,44620
request-from-bytes,,,,,34610028.0,ns,45080
request-from-bytes,,,,,34669921.0,ns,45540
request-from-bytes,,,,,35239798.0,ns,46000
request-from-bytes,,,,,35270914.0,ns,46460
request-from-bytes,,,,,35598266.0,ns,46920
request-from-bytes,,,,,35954093.0,ns,47380
request-from-bytes,,,,,36510435.0,ns,47840
request-from-bytes,,,,,36777463.0,ns,48300
request-from-bytes,,,,,37107350.0,ns,48760
request-from-bytes,,,,,37398604.0,ns,49220
request-from-bytes,,,,,37714950.0,ns,49680
request-from-bytes,,,,,38073525.0,ns,50140
request-from-bytes,,,,,38409887.0,ns,50600
request-from-bytes,,,,,38748317.0,ns,51060
request-from-bytes,,,,,39144640.0,ns,51520
request-from-bytes,,,,,39719624.0,ns,51980
request-from-bytes,,,,,39775154.0,ns,52440
request-from-bytes,,,,,40177580.0,ns,52900
request-from-bytes,,,,,40489456.0,ns,53360
request-from-bytes,,,,,40834276.0,ns,53820
request-from-bytes,,,,,41208996.0,ns,54280
request-from-bytes,,,,,46357406.0,ns,54740
request-from-bytes,,,,,46808276.0,ns,55200
request-from-bytes,,,,,42263855.0,ns,55660
request-from-bytes,,,,,42653821.0,ns,56120
request-from-bytes,,,,,42943466.0,ns,56580
request-from-bytes,,,,,43466585.0,ns,57040
request-from-bytes,,,,,48070872.0,ns,57500
request-from-bytes,,,,,45742540.0,ns,57960
request-from-bytes,,,,,46215261.0,ns,58420
request-from-bytes,,,,,46395431.0,ns,58880
request-from-bytes,,,,,48287119.0,ns,59340
request-from-bytes,,,,,48150983.0,ns,59800
request-from-bytes,,,,,45872531.0,ns,60260
request-from-bytes,,,,,46146988.0,ns,60720
request-from-bytes,,,,,46592409.0,ns,61180
request-from-bytes,,,,,46825398.0,ns,61640
request-from-bytes,,,,,47352814.0,ns,62100
request-from-bytes,,,,,52388229.0,ns,62560
request-from-bytes,,,,,49561640.0,ns,63020
request-from-bytes,,,,,53013864.0,ns,63480
request-from-bytes,,,,,48787182.0,ns,63940
request-from-bytes,,,,,53513886.0,ns,64400
request-from-bytes,,,,,51448405.0,ns,64860
request-from-bytes,,,,,51510404.0,ns,65320
request-from-bytes,,,,,52029213.0,ns,65780
request-from-bytes,,,,,52462404.0,ns,66240
request-from-bytes,,,,,52961346.0,ns,66700
request-from-bytes,,,,,55147686.0,ns,67160
request-from-bytes,,,,,51357773.0,ns,67620
request-from-bytes,,,,,56852390.0,ns,68080
request-from-bytes,,,,,53990135.0,ns,68540
request-from-bytes,,,,,54262271.0,ns,69000
request-from-bytes,,,,,55075060.0,ns,69460
request-from-bytes,,,,,56161292.0,ns,69920
request-from-bytes,,,,,57190544.0,ns,70380
request-from-bytes,,,,,57754173.0,ns,70840
request-from-bytes,,,,,58549544.0,ns,71300
request-from-bytes,,,,,58768882.0,ns,71760
request-from-bytes,,,,,59432335.0,ns,72220
request-from-bytes,,,,,63463022.0,ns,72680
request-from-bytes,,,,,55502143.0,ns,73140
request-from-bytes,,,,,56358263.0,ns,73600
request-from-bytes,,,,,56310457.0,ns,74060
request-from-bytes,,,,,56894054.0,ns,74520
request-from-bytes,,,,,57537325.0,ns,74980
request-from-bytes,,,,,57143092.0,ns,75440
request-from-bytes,,,,,58003193.0,ns,75900
request-from-bytes,,,,,57707272.0,ns,76360
request-from-bytes,,,,,58650169.0,ns,76820
request-from-bytes,,,,,58410275.0,ns,77280
request-from-bytes,,,,,59088214.0,ns,77740
request-from-bytes,,,,,60120044.0,ns,78200
request-from-bytes,,,,,59427953.0,ns,78660
request-from-bytes,,,,,60470191.0,ns,79120
request-from-bytes,,,,,60156623.0,ns,79580
request-from-bytes,,,,,61074397.0,ns,80040
request-from-bytes,,,,,61430387.0,ns,80500
request-from-bytes,,,,,61183741.0,ns,80960
request-from-bytes,,,,,61915941.0,ns,81420
request-from-bytes,,,,,62075184.0,ns,81880
request-from-bytes,,,,,62912408.0,ns,82340
request-from-bytes,,,,,63311045.0,ns,82800
request-from-bytes,,,,,63010893.0,ns,83260
request-from-bytes,,,,,63943212.0,ns,83720
request-from-bytes,,,,,63782219.0,ns,84180
request-from-bytes,,,,,64291645.0,ns,84640
request-from-bytes,,,,,64824927.0,ns,85100
request-from-bytes,,,,,69973514.0,ns,85560
request-from-bytes,,,,,68043654.0,ns,86020
request-from-bytes,,,,,68565923.0,ns,86480
request-from-bytes,,,,,71077157.0,ns,86940
request-from-bytes,,,,,66748562.0,ns,87400
request-from-bytes,,,,,73184243.0,ns,87860
request-from-bytes,,,,,69941169.0,ns,88320
request-from-bytes,,,,,69980471.0,ns,88780
request-from-bytes,,,,,71055198.0,ns,89240
request-from-bytes,,,,,71352144.0,ns,89700
request-from-bytes,,,,,71105752.0,ns,90160
request-from-bytes,,,,,71786697.0,ns,90620
request-from-bytes,,,,,71909497.0,ns,91080
request-from-bytes,,,,,72301204.0,ns,91540
request-from-bytes,,,,,79124916.0,ns,92000
request-from-bytes,,,,,72960786.0,ns,92460
request-from-bytes,,,,,73144933.0,ns,92920
request-from-bytes,,,,,133767236.0,ns,93380
request-from-bytes,,,,,116447501.0,ns,93840
request-from-bytes,,,,,90945761.0,ns,94300
request-from-bytes,,,,,77456444.0,ns,94760
request-from-bytes,,,,,76187669.0,ns,95220
request-from-bytes,,,,,72805047.0,ns,95680
request-from-bytes,,,,,73173069.0,ns,96140
request-from-bytes,,,,,73238888.0,ns,96600
request-from-bytes,,,,,73545377.0,ns,97060
request-from-bytes,,,,,74317071.0,ns,97520
