group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
deserialize-announce-request,,,,,440216.0,ns,21
deserialize-announce-request,,,,,735170.0,ns,42
deserialize-announce-request,,,,,1103196.0,ns,63
deserialize-announce-request,,,,,1487746.0,ns,84
deserialize-announce-request,,,,,1853576.0,ns,105
deserialize-announce-request,,,,,2226238.0,ns,126
deserialize-announce-request,,,,,2569194.0,ns,147
deserialize-announce-request,,,,,2940587.0,ns,168
deserialize-announce-request,,,,,3306717.0,ns,189
deserialize-announce-request,,,,,3691449.0,ns,210
deserialize-announce-request,,,,,4043710.0,ns,231
deserialize-announce-request,,,,,4407865.0,ns,252
deserialize-announce-request,,,,,4810473.0,ns,273
deserialize-announce-request,,,,,5363261.0,ns,294
deserialize-announce-request,,,,,5752576.0,ns,315
deserialize-announce-request,,,,,8858221.0,ns,336
deserialize-announce-request,,,,,7294835.0,ns,357
deserialize-announce-request,,,,,7261542.0,ns,378
deserialize-announce-request,,,,,7471269.0,ns,399
deserialize-announce-request,,,,,7437979.0,ns,420
deserialize-announce-request,,,,,7733500.0,ns,441
deserialize-announce-request,,,,,8084148.0,ns,462
deserialize-announce-request,,,,,8503572.0,ns,483
deserialize-announce-request,,,,,8814843.0,ns,504
deserialize-announce-request,,,,,9399602.0,ns,525
deserialize-announce-request,,,,,9574901.0,ns,546
deserialize-announce-request,,,,,10147088.0,ns,567
deserialize-announce-request,,,,,10329222.0,ns,588
deserialize-announce-request,,,,,10656388.0,ns,609
deserialize-announce-request,,,,,11175719.0,ns,630
deserialize-announce-request,,,,,11426608.0,ns,651
deserialize-announce-request,,,,,11771207.0,ns,672
deserialize-announce-request,,,,,12185148.0,ns,693
deserialize-announce-request,,,,,12701113.0,ns,714
deserialize-announce-request,,,,,12854894.0,ns,735
deserialize-announce-request,,,,,13288629.0,ns,756
deserialize-announce-request,,,,,13611215.0,ns,777
deserialize-announce-request,,,,,14296947.0,ns,798
deserialize-announce-request,,,,,14347011.0,ns,819
deserialize-announce-request,,,,,14687861.0,ns,840
deserialize-announce-request,,,,,15251923.0,ns,861
deserialize-announce-request,,,,,15428709.0,ns,882
deserialize-announce-request,,,,,16176652.0,ns,903
deserialize-announce-request,,,,,16192924.0,ns,924
deserialize-announce-request,,,,,16503465.0,ns,945
deserialize-announce-request,,,,,16920376.0,ns,966
deserialize-announce-request,,,,,17479434.0,ns,987
deserialize-announce-request,,,,,17923276.0,ns,1008
deserialize-announce-request,,,,,18047113.0,ns,1029
deserialize-announce-request,,,,,18417292.0,ns,1050
deserialize-announce-request,,,,,18774695.0,ns,1071
deserialize-announce-request,,,,,19265603.0,ns,1092
deserialize-announce-request,,,,,19510838.0,ns,1113
deserialize-announce-request,,,,,20137692.0,ns,1134
deserialize-announce-request,,,,,23112165.0,ns,1155
deserialize-announce-request,,,,,21767615.0,ns,1176
deserialize-announce-request,,,,,21065683.0,ns,1197
deserialize-announce-request,,,,,25417034.0,ns,1218
